first_schema;e1;e2;score
drom;http://data.odeuropa.eu/vocabulary/drom/sandalwood_oil;http://data.odeuropa.eu/vocabulary/historical-scent/woody_sandalwood;0.8962726901668743
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/processed_meat_sweat;http://data.odeuropa.eu/vocabulary/historical-scent/body_odour_sweat;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/mineral_chemical;http://data.odeuropa.eu/vocabulary/historical-scent/chemical;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_earth;http://data.odeuropa.eu/vocabulary/historical-scent/earthy__mineral_earth;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/maillard_coffee;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_coffee;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_green_tea;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_tea;0.7972397505923174
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_tobacco;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_tobacco;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_vanilla;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_vanilla;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_jasmine;http://data.odeuropa.eu/vocabulary/historical-scent/floral_jasmin;0.8930636622165572
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_rose;http://data.odeuropa.eu/vocabulary/historical-scent/floral_rose;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_hyacinth;http://data.odeuropa.eu/vocabulary/historical-scent/floral_tulip;0.7399206928274439
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/aromatic_violet;http://data.odeuropa.eu/vocabulary/historical-scent/floral_violet;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/mineral_camphor;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_camphor;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_grass;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_grass;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/fruity_rubber;http://data.odeuropa.eu/vocabulary/historical-scent/fruity;0.7226258517184445
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_apple;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_apple;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/pome_banana;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_banana;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/berry_grape;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_grapes;0.8332626837334283
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/citrus_lemon;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_lemon;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/grain_bread;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_bread;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/fermented_wine;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_wine;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/floral_lavender;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_lavender;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/edible_oil_mint;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_mint;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/herbs_thyme;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_thyme;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/mineral_gasoline;http://data.odeuropa.eu/vocabulary/historical-scent/industrial_gasoline;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/edible_oil_oil;http://data.odeuropa.eu/vocabulary/historical-scent/industrial_oil;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/animal_smoke;http://data.odeuropa.eu/vocabulary/historical-scent/industrial_smoke;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/mineral_metal;http://data.odeuropa.eu/vocabulary/historical-scent/metallic_metals;0.8332626837334284
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/maillard_mildew;http://data.odeuropa.eu/vocabulary/historical-scent/mouldy_mildew;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/vegetable_carrot;http://data.odeuropa.eu/vocabulary/historical-scent/radical__root_carrot;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/vegetable_orris;http://data.odeuropa.eu/vocabulary/historical-scent/radical__root_orris_root;0.780621931285197
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/sweet_spices_cinnamon;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_cinnamon;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/seed_spices_clove;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_cloves;0.8332626837334283
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/sweet_spices_nutmeg;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_nutmeg;1.0
flavornet-odors;http://data.odeuropa.eu/vocabulary/flavornet/odors/fecal;http://data.odeuropa.eu/vocabulary/historical-scent/sulphurous__rotten__fecal_fecal;1.0
